chrom	start	end	ratio_change	gene_id	gene_name	gene_type	overlap_type	strand
chr11	117900000	118050000	-0.1031813333333333	ENSMUSG00000098958.1	Mir6933	miRNA	partial	+
chr11	117900000	118050000	-0.1031813333333333	ENSMUSG00000033987.16	Dnah17	protein_coding	partial	-
chr11	118650000	118800000	-0.1277998666666666	ENSMUSG00000025576.17	Rbfox3	protein_coding	gene_body	-
chr11	118650000	118800000	-0.1277998666666666	ENSMUSG00000085059.1	Gm11750	lincRNA	partial	+
chr12	112350000	112500000	-0.1153487	ENSMUSG00000103080.1	Gm38123	TEC	partial	-
chr12	112350000	112500000	-0.1153487	ENSMUSG00000113120.1	E330035G20Rik	lincRNA	partial	-
chr12	112350000	112500000	-0.1153487	ENSMUSG00000047828.4	A730018C14Rik	processed_transcript	partial	-
chr12	112350000	112500000	-0.1153487	ENSMUSG00000113189.1	B020018J22Rik	lincRNA	partial	-
chr12	112350000	112500000	-0.1153487	ENSMUSG00000043122.7	A530016L24Rik	protein_coding	partial	+
chr12	112350000	112500000	-0.1153487	ENSMUSG00000054013.6	Tmem179	protein_coding	promoter_upstream	-
chr13	54300000	54450000	-0.1074521666666666	ENSMUSG00000112941.1	Gm48623	lincRNA	partial	+
chr13	54300000	54450000	-0.1074521666666666	ENSMUSG00000113404.1	Gm48622	lincRNA	partial	-
chr13	54300000	54450000	-0.1074521666666666	ENSMUSG00000025867.8	Cplx2	protein_coding	partial	+
chr13	54300000	54450000	-0.1074521666666666	ENSMUSG00000086137.1	Gm16248	lincRNA	partial	-
chr13	54300000	54450000	-0.1074521666666666	ENSMUSG00000089341.1	Gm22668	misc_RNA	partial	-
chr14	25350000	25500000	-0.105145	ENSMUSG00000087535.2	Zmiz1os1	antisense	partial	-
chr14	25350000	25500000	-0.105145	ENSMUSG00000097601.2	Gm26660	lincRNA	partial	-
chr14	25350000	25500000	-0.105145	ENSMUSG00000114232.1	Gm17747	lincRNA	partial	+
chr14	25350000	25500000	-0.105145	ENSMUSG00000007817.15	Zmiz1	protein_coding	partial	+
chr14	25350000	25500000	-0.105145	ENSMUSG00000114709.1	Gm47920	sense_intronic	partial	+
chr14	25350000	25500000	-0.105145	ENSMUSG00000114539.1	Gm47921	sense_intronic	partial	+
chr15	85950000	86100000	-0.1001783333333333	ENSMUSG00000016028.11	Celsr1	protein_coding	partial	-
chr15	85950000	86100000	-0.1001783333333333	ENSMUSG00000035900.18	Gramd4	protein_coding	partial	+
chr15	85950000	86100000	-0.1001783333333333	ENSMUSG00000089680.1	Gm15722	antisense	partial	-
chr16	18450000	18600000	-0.1049428999999999	ENSMUSG00000075704.16	Txnrd2	protein_coding	partial	+
chr16	18450000	18600000	-0.1049428999999999	ENSMUSG00000116842.1	Gm49588	TEC	partial	+
chr16	18450000	18600000	-0.1049428999999999	ENSMUSG00000000884.17	Gnb1l	protein_coding	partial	+
chr16	18450000	18600000	-0.1049428999999999	ENSMUSG00000086965.1	Rtl10	protein_coding	partial	+
chr16	18450000	18600000	-0.1049428999999999	ENSMUSG00000009097.10	Tbx1	protein_coding	partial	-
chr16	18450000	18600000	-0.1049428999999999	ENSMUSG00000075335.3	4930588K23Rik	lincRNA	partial	+
chr16	35400000	35550000	-0.1094572666666666	ENSMUSG00000022844.8	Pdia5	protein_coding	partial	-
chr16	35400000	35550000	-0.1094572666666666	ENSMUSG00000095160.1	Gm25548	miRNA	partial	-
chr16	35400000	35550000	-0.1094572666666666	ENSMUSG00000099429.1	1600019K03Rik	lincRNA	partial	-
chr16	35400000	35550000	-0.1094572666666666	ENSMUSG00000052133.16	Sema5b	protein_coding	partial	+
chr17	25200000	25350000	-0.1084704333333333	ENSMUSG00000015127.14	Unkl	protein_coding	partial	+
chr17	25200000	25350000	-0.1084704333333333	ENSMUSG00000035521.13	Gnptg	protein_coding	partial	-
chr17	25200000	25350000	-0.1084704333333333	ENSMUSG00000015126.9	Tsr3	protein_coding	partial	+
chr17	25200000	25350000	-0.1084704333333333	ENSMUSG00000047507.12	Baiap3	protein_coding	partial	-
chr17	25200000	25350000	-0.1084704333333333	ENSMUSG00000093202.2	Mir3547	miRNA	partial	-
chr17	25200000	25350000	-0.1084704333333333	ENSMUSG00000015120.15	Ube2i	protein_coding	partial	-
chr17	25200000	25350000	-0.1084704333333333	ENSMUSG00000056399.2	Prss34	protein_coding	partial	+
chr17	25200000	25350000	-0.1084704333333333	ENSMUSG00000088930.1	Gm25921	snoRNA	partial	+
chr17	25200000	25350000	-0.1084704333333333	ENSMUSG00000024171.5	Prss28	protein_coding	partial	+
chr17	25200000	25350000	-0.1084704333333333	ENSMUSG00000034039.8	Prss29	protein_coding	partial	+
chr17	25200000	25350000	-0.1084704333333333	ENSMUSG00000098180.1	Gm5430	processed_pseudogene	partial	-
chr17	25200000	25350000	-0.1084704333333333	ENSMUSG00000117517.1	Gm50085	unprocessed_pseudogene	partial	+
chr17	25200000	25350000	-0.1084704333333333	ENSMUSG00000024173.11	Tpsab1	protein_coding	partial	-
chr17	25350000	25500000	-0.1026296666666667	ENSMUSG00000024173.11	Tpsab1	protein_coding	promoter_downstream	-
chr17	25350000	25500000	-0.1026296666666667	ENSMUSG00000033825.10	Tpsb2	protein_coding	partial	+
chr17	25350000	25500000	-0.1026296666666667	ENSMUSG00000033200.16	Tpsg1	protein_coding	partial	+
chr17	25350000	25500000	-0.1026296666666667	ENSMUSG00000024112.16	Cacna1h	protein_coding	partial	-
chr17	25350000	25500000	-0.1026296666666667	ENSMUSG00000024175.2	Tekt4	protein_coding	partial	+
chr17	25350000	25500000	-0.1026296666666667	ENSMUSG00000050824.12	Sstr5	protein_coding	partial	-
chr17	27450000	27600000	-0.1013076666666666	ENSMUSG00000063239.17	Grm4	protein_coding	partial	-
chr17	27450000	27600000	-0.1013076666666666	ENSMUSG00000116568.1	Gm49790	TEC	partial	-
chr17	27450000	27600000	-0.1013076666666666	ENSMUSG00000082177.2	Gm16005	processed_pseudogene	partial	+
chr17	27450000	27600000	-0.1013076666666666	ENSMUSG00000082741.2	Gm9703	processed_pseudogene	partial	+
chr17	27450000	27600000	-0.1013076666666666	ENSMUSG00000116657.1	Gm49774	antisense	partial	-
chr17	27450000	27600000	-0.1013076666666666	ENSMUSG00000116548.1	Gm49773	TEC	partial	+
chr17	27450000	27600000	-0.1013076666666666	ENSMUSG00000046711.16	Hmga1	protein_coding	partial	+
chr17	27450000	27600000	-0.1013076666666666	ENSMUSG00000062753.14	AI413582	protein_coding	partial	-
chr17	27450000	27600000	-0.1013076666666666	ENSMUSG00000116884.1	C130040N14Rik	antisense	partial	+
chr17	27450000	27600000	-0.1013076666666666	ENSMUSG00000024213.14	Nudt3	protein_coding	partial	-
chr17	27450000	27600000	-0.1013076666666666	ENSMUSG00000117338.1	Gm49804	protein_coding	partial	-
chr17	31050000	31200000	-0.106033	ENSMUSG00000024030.7	Abcg1	protein_coding	partial	+
chr17	31050000	31200000	-0.106033	ENSMUSG00000089622.1	Gm25447	rRNA	partial	+
chr17	31050000	31200000	-0.106033	ENSMUSG00000024029.4	Tff3	protein_coding	partial	-
chr17	31050000	31200000	-0.106033	ENSMUSG00000024028.7	Tff2	protein_coding	partial	-
chr17	31050000	31200000	-0.106033	ENSMUSG00000086010.8	Gm15318	antisense	partial	+
chr17	31050000	31200000	-0.106033	ENSMUSG00000024032.7	Tff1	protein_coding	partial	-
chr17	31050000	31200000	-0.106033	ENSMUSG00000024034.13	Tmprss3	protein_coding	partial	-
chr17	47850000	48000000	-0.1029408666666666	ENSMUSG00000064748.1	n-R5s28	rRNA	promoter_downstream	+
chr17	47850000	48000000	-0.1029408666666666	ENSMUSG00000023991.16	Foxp4	protein_coding	partial	-
chr17	47850000	48000000	-0.1029408666666666	ENSMUSG00000085932.1	Gm15556	antisense	partial	+
chr17	47850000	48000000	-0.1029408666666666	ENSMUSG00000084288.1	Gm5228	processed_pseudogene	partial	+
chr17	47850000	48000000	-0.1029408666666666	ENSMUSG00000082492.1	Gm14871	processed_pseudogene	promoter_upstream	-
chr17	55950000	56100000	-0.107325	ENSMUSG00000062101.12	Zfp119b	protein_coding	promoter_downstream	-
chr17	55950000	56100000	-0.107325	ENSMUSG00000003206.7	Ebi3	protein_coding	partial	+
chr17	55950000	56100000	-0.107325	ENSMUSG00000097077.1	Gm16712	antisense	partial	-
chr17	55950000	56100000	-0.107325	ENSMUSG00000003208.9	Yju2	protein_coding	partial	+
chr17	55950000	56100000	-0.107325	ENSMUSG00000039154.8	Shd	protein_coding	partial	+
chr17	55950000	56100000	-0.107325	ENSMUSG00000011589.9	Fsd1	protein_coding	partial	+
chr17	55950000	56100000	-0.107325	ENSMUSG00000038781.7	Stap2	protein_coding	partial	-
chr17	55950000	56100000	-0.107325	ENSMUSG00000003199.16	Mpnd	protein_coding	partial	+
chr17	55950000	56100000	-0.107325	ENSMUSG00000084755.1	Gm16276	processed_pseudogene	partial	-
chr17	55950000	56100000	-0.107325	ENSMUSG00000003200.10	Sh3gl1	protein_coding	partial	-
chr17	55950000	56100000	-0.107325	ENSMUSG00000002835.9	Chaf1a	protein_coding	partial	+
chr17	55950000	56100000	-0.107325	ENSMUSG00000019578.11	Ubxn6	protein_coding	partial	-
chr17	55950000	56100000	-0.107325	ENSMUSG00000002833.11	Hdgfl2	protein_coding	partial	+
chr17	55950000	56100000	-0.107325	ENSMUSG00000002831.14	Plin4	protein_coding	promoter_upstream	-
chr17	56100000	56250000	-0.1026566666666665	ENSMUSG00000002833.11	Hdgfl2	protein_coding	partial	+
chr17	56100000	56250000	-0.1026566666666665	ENSMUSG00000002831.14	Plin4	protein_coding	partial	-
chr17	56100000	56250000	-0.1026566666666665	ENSMUSG00000011305.11	Plin5	protein_coding	partial	-
chr17	56100000	56250000	-0.1026566666666665	ENSMUSG00000037095.8	Lrg1	protein_coding	partial	-
chr17	56100000	56250000	-0.1026566666666665	ENSMUSG00000001227.12	Sema6b	protein_coding	partial	-
chr17	56100000	56250000	-0.1026566666666665	ENSMUSG00000044469.8	Tnfaip8l1	protein_coding	partial	+
chr17	56100000	56250000	-0.1026566666666665	ENSMUSG00000106418.1	Gm44397	miRNA	partial	-
chr17	56100000	56250000	-0.1026566666666665	ENSMUSG00000019579.13	Mydgf	protein_coding	partial	-
chr17	56100000	56250000	-0.1026566666666665	ENSMUSG00000001229.9	Dpp9	protein_coding	partial	-
chr17	56100000	56250000	-0.1026566666666665	ENSMUSG00000117176.1	Gm49879	processed_pseudogene	partial	+
chr17	56100000	56250000	-0.1026566666666665	ENSMUSG00000117172.1	A230051N06Rik	lincRNA	partial	+
chr17	56100000	56250000	-0.1026566666666665	ENSMUSG00000065491.1	Mir7b	miRNA	partial	+
chr2	26250000	26400000	-0.1085946666666667	ENSMUSG00000048038.8	Ccdc187	protein_coding	partial	-
chr2	26250000	26400000	-0.1085946666666667	ENSMUSG00000026930.15	Gpsm1	protein_coding	partial	+
chr2	26250000	26400000	-0.1085946666666667	ENSMUSG00000075467.4	Dnlz	protein_coding	partial	-
chr2	26250000	26400000	-0.1085946666666667	ENSMUSG00000026928.14	Card9	protein_coding	partial	-
chr2	26250000	26400000	-0.1085946666666667	ENSMUSG00000086779.1	Gm13562	processed_transcript	partial	+
chr2	26250000	26400000	-0.1085946666666667	ENSMUSG00000036281.13	Snapc4	protein_coding	partial	-
chr2	26250000	26400000	-0.1085946666666667	ENSMUSG00000085767.1	Gm13563	antisense	partial	+
chr2	26250000	26400000	-0.1085946666666667	ENSMUSG00000026927.17	Entr1	protein_coding	partial	-
chr2	26250000	26400000	-0.1085946666666667	ENSMUSG00000026926.14	Pmpca	protein_coding	partial	+
chr2	26250000	26400000	-0.1085946666666667	ENSMUSG00000026925.16	Inpp5e	protein_coding	partial	-
chr2	91050000	91200000	-0.1164226333333333	ENSMUSG00000002104.11	Rapsn	protein_coding	promoter_downstream	+
chr2	91050000	91200000	-0.1164226333333333	ENSMUSG00000086495.7	Gm13778	processed_transcript	partial	-
chr2	91050000	91200000	-0.1164226333333333	ENSMUSG00000002102.15	Psmc3	protein_coding	partial	+
chr2	91050000	91200000	-0.1164226333333333	ENSMUSG00000002105.15	Slc39a13	protein_coding	partial	-
chr2	91050000	91200000	-0.1164226333333333	ENSMUSG00000002111.8	Spi1	protein_coding	partial	+
chr2	91050000	91200000	-0.1164226333333333	ENSMUSG00000002100.15	Mybpc3	protein_coding	partial	+
chr2	91050000	91200000	-0.1164226333333333	ENSMUSG00000040687.16	Madd	protein_coding	partial	-
chr2	91050000	91200000	-0.1164226333333333	ENSMUSG00000002108.10	Nr1h3	protein_coding	partial	-
chr2	91050000	91200000	-0.1164226333333333	ENSMUSG00000086206.1	Gm13783	processed_transcript	partial	-
chr2	91050000	91200000	-0.1164226333333333	ENSMUSG00000088018.1	Gm23390	snRNA	promoter_upstream	+
chr2	91050000	91200000	-0.1164226333333333	ENSMUSG00000002103.16	Acp2	protein_coding	promoter_upstream	+
chr2	172800000	172950000	-0.1306077	ENSMUSG00000093160.1	Gm22773	miRNA	partial	-
chr2	172800000	172950000	-0.1306077	ENSMUSG00000008999.7	Bmp7	protein_coding	partial	-
chr2	173250000	173400000	-0.1227436	ENSMUSG00000038400.15	Pmepa1	protein_coding	partial	-
chr2	173250000	173400000	-0.1227436	ENSMUSG00000087600.1	Pmepa1os	antisense	partial	+
chr2	173250000	173400000	-0.1227436	ENSMUSG00000086114.1	Gm14642	lincRNA	partial	+
chr4	131400000	131550000	-0.1293977	ENSMUSG00000078531.3	Gm831	lincRNA	partial	+
chr4	140250000	140400000	-0.135116	ENSMUSG00000040972.8	Igsf21	protein_coding	promoter_downstream	-
chr4	140250000	140400000	-0.135116	ENSMUSG00000103107.1	Gm9867	TEC	partial	-
chr4	140250000	140400000	-0.135116	ENSMUSG00000087084.1	Gm13016	lincRNA	partial	+
chr4	140250000	140400000	-0.135116	ENSMUSG00000086960.1	Gm13017	lincRNA	partial	+
chr4	140700000	140850000	-0.1094373333333333	ENSMUSG00000040945.13	Rcc2	protein_coding	partial	+
chr4	140700000	140850000	-0.1094373333333333	ENSMUSG00000093071.1	Gm25951	miRNA	partial	+
chr4	140700000	140850000	-0.1094373333333333	ENSMUSG00000040935.12	Padi6	protein_coding	partial	-
chr4	140700000	140850000	-0.1094373333333333	ENSMUSG00000025330.6	Padi4	protein_coding	partial	-
chr4	140700000	140850000	-0.1094373333333333	ENSMUSG00000025328.9	Padi3	protein_coding	partial	-
chr4	140700000	140850000	-0.1094373333333333	ENSMUSG00000085918.1	Gm13032	processed_transcript	partial	+
chr4	140700000	140850000	-0.1094373333333333	ENSMUSG00000025329.3	Padi1	protein_coding	partial	-
