gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,diff,state,cell_type,chromosome
H2bc13,chr13,21715763,21716143,-,21716143,21726143,3.607816434907913,5.01178085343043,1.4039644185225173,Mixed,NSC,chr13
H3c10,chr13,21717659,21718069,+,21707659,21717659,4.534404744875431,4.749133236761888,0.2147284918864569,Mixed,NSC,chr13
H2bc14,chr13,21722044,21722567,+,21712044,21722044,3.690285409891605,4.442980244704088,0.7526948348124822,Mixed,NSC,chr13
H4c11,chr13,21735064,21735837,+,21725064,21735064,5.04688082638979,4.893457007881005,-0.1534238185087852,Mixed,NSC,chr13
H4c12,chr13,21750194,21750505,-,21750505,21760505,4.362503005743027,5.084815761913856,0.7223127561708296,Mixed,NSC,chr13
H2ac15,chr13,21753435,21753827,-,21753827,21763827,3.613721431457997,4.330587710769971,0.7168662793119749,Mixed,NSC,chr13
H2bc15,chr13,21754123,21754503,+,21744123,21754123,3.780714576816559,5.197605653055509,1.4168910762389495,Mixed,NSC,chr13
H1f5,chr13,21779883,21780625,-,21780625,21790625,2.7929220379889013,4.117083578328292,1.3241615403393907,Mixed,NSC,chr13
H3c11,chr13,21782960,21783370,-,21783370,21793370,3.036096701383591,3.94676266092062,0.9106659595370288,Mixed,NSC,chr13
Zfp184,chr13,21945094,21960779,+,21935094,21945094,3.8403433411121375,4.163262655901909,0.3229193147897717,Mixed,NSC,chr13
Pom121l2,chr13,21981194,21988734,+,21971194,21981194,4.506374005246162,4.878125234810511,0.3717512295643495,Mixed,NSC,chr13
Prss16,chr13,22002173,22009742,-,22009742,22019742,4.169095979976654,4.532738096014659,0.3636421160380045,Mixed,NSC,chr13
H2ac12,chr13,22035164,22035568,-,22035568,22045568,3.92831219162941,4.864632984817027,0.9363207931876172,Mixed,NSC,chr13
H4c9,chr13,22040636,22041362,-,22041362,22051362,4.482229621541499,4.707532344941298,0.2253027233997988,Mixed,NSC,chr13
H2ac11,chr13,22042460,22042944,-,22042944,22052944,5.110055606305599,4.671465256329378,-0.4385903499762209,Mixed,NSC,chr13
Zfp322a,chr13,23353103,23369208,-,23369208,23379208,4.306235812962056,4.220230711360773,-0.086005101601283,Mixed,NSC,chr13
Abt1,chr13,23418361,23423866,-,23423866,23433866,4.831793685007096,4.943967367430528,0.1121736824234327,Mixed,NSC,chr13
Btn1a1,chr13,23456992,23465901,-,23465901,23475901,5.035304955315589,4.907942344411214,-0.1273626109043757,Mixed,NSC,chr13
H4c8,chr13,23531050,23531519,+,23521050,23531050,4.19522991335392,4.614904417673746,0.4196745043198264,Mixed,NSC,chr13
H3c8,chr13,23535422,23535951,+,23525422,23535422,4.972729448258876,4.68818836581707,-0.2845410824418062,Mixed,NSC,chr13
H2bc9,chr13,23541714,23543392,-,23543392,23553392,3.3841031864762305,3.674597944684823,0.2904947582085926,Mixed,NSC,chr13
H3c7,chr13,23544052,23545312,+,23534052,23544052,4.505007880496979,4.632211784859499,0.1272039043625197,Mixed,NSC,chr13
H4c6,chr13,23551258,23551648,-,23551648,23561648,3.360897077643872,5.170464729468027,1.809567651824156,Mixed,NSC,chr13
H1f3,chr13,23553262,23560686,+,23543262,23553262,3.440451032876968,3.7056819840828576,0.2652309512058894,Mixed,NSC,chr13
H3c6,chr13,23561534,23562369,-,23562369,23572369,3.3693198101282125,4.396964836812019,1.0276450266838069,Mixed,NSC,chr13
H2ac8,chr13,23570517,23571220,-,23571220,23581220,3.565489554107189,4.20145248556137,0.6359629314541815,Mixed,NSC,chr13
H2ac7,chr13,23574381,23574952,+,23564381,23574381,3.78828802819252,4.542209135210514,0.7539211070179936,Mixed,NSC,chr13
H3c4,chr13,23575763,23577011,+,23565763,23575763,3.4283584115147594,4.4647744874318445,1.036416075917085,Mixed,NSC,chr13
H4c4,chr13,23581598,23582735,+,23571598,23581598,3.849269018685818,4.425737239499887,0.5764682208140695,Mixed,NSC,chr13
H1f4,chr13,23620629,23622558,-,23622558,23632558,3.500801171875,4.661493481906256,1.1606923100312558,Mixed,NSC,chr13
H2ac6,chr13,23681467,23683948,-,23683948,23693948,3.509664190077782,4.5975923094948135,1.0879281194170316,Mixed,NSC,chr13
H4c3,chr13,23697635,23698454,-,23698454,23708454,5.038769280815124,5.5012836272279415,0.4625143464128172,Mixed,NSC,chr13
H1f2,chr13,23738808,23740367,+,23728808,23738808,4.757989584803581,4.361821287588279,-0.3961682972153024,Mixed,NSC,chr13
H3c3,chr13,23744973,23745602,-,23745602,23755602,2.9073370217084884,5.051584484382471,2.1442474626739827,Heterochromatin,NSC,chr13
H2bc3,chr13,23746734,23747241,+,23736734,23746734,4.103910035765171,5.094623292791844,0.9907132570266723,Mixed,NSC,chr13
H2ac4,chr13,23751126,23751598,+,23741126,23751126,3.099853484642506,5.087678889079889,1.987825404437383,Mixed,NSC,chr13
H3c2,chr13,23752267,23752886,+,23742267,23752267,3.3686229748129843,5.059397703750929,1.690774728937945,Mixed,NSC,chr13
H4c2,chr13,23757013,23757409,+,23747013,23757013,2.8228992952108385,5.044550162335237,2.2216508671243984,Heterochromatin,NSC,chr13
H4c1,chr13,23760692,23761230,-,23761230,23771230,4.689539497375488,4.326034916639329,-0.3635045807361594,Mixed,NSC,chr13
H1f1,chr13,23763666,23764406,+,23753666,23763666,3.536861126899719,4.849192852056026,1.312331725156307,Mixed,NSC,chr13
Carmil1,chr13,24012344,24280795,-,24280795,24290795,6.4671160162091255,5.703916287501653,-0.7631997287074723,Mixed,NSC,chr13
Ripor2,chr13,24501525,24733816,+,24491525,24501525,5.932648926466704,5.520855468849341,-0.4117934576173629,Mixed,NSC,chr13
Gmnn,chr13,24751845,24761923,-,24761923,24771923,2.602394502568245,2.959263781893253,0.3568692793250076,Mixed,NSC,chr13
BC005537,chr13,24801657,24816197,+,24791657,24801657,6.213012175959348,5.652261917972564,-0.5607502579867845,Mixed,NSC,chr13
Tdp2,chr13,24831679,24842153,+,24821679,24831679,6.2612285045504565,5.647230105251073,-0.6139983992993834,Mixed,NSC,chr13
D130043K22Rik,chr13,24845135,24901270,+,24835135,24845135,4.02006959527731,4.597469499468804,0.5773999041914939,Mixed,NSC,chr13
9330162012Rik,chr13,24937401,24941417,+,24927401,24937401,6.853198291659355,5.770396231679122,-1.0828020599802333,Mixed,NSC,chr13
Mrs2,chr13,24987483,25020379,-,25020379,25030379,4.733380589067936,5.019234875724713,0.285854286656777,Mixed,NSC,chr13
Dcdc2a,chr13,25056004,25210706,+,25046004,25056004,5.222161830115319,4.615344744797548,-0.606817085317771,Mixed,NSC,chr13
Sox4,chr13,28948919,28953713,-,28953713,28963713,6.413382510185242,6.48778200964133,0.0743994994560877,Mixed,NSC,chr13
Cdkal1,chr13,29191746,29855674,-,29855674,29865674,3.846721438026428,4.879506564780077,1.032785126753649,Mixed,NSC,chr13
E2f3,chr13,29906575,29986063,-,29986063,29996063,6.038922604310512,5.048382977990308,-0.9905396263202038,Mixed,NSC,chr13
Mboat1,chr13,30136489,30246717,+,30126489,30136489,5.38626012417078,4.896989708983898,-0.4892704151868825,Mixed,NSC,chr13
Uqcrfs1,chr13,30540308,30545362,-,30545362,30555362,5.418543420064449,4.932282263394196,-0.4862611566702526,Mixed,NSC,chr13
Dusp22,chr13,30659999,30711231,+,30649999,30659999,4.08593528854847,4.837724631683032,0.7517893431345621,Mixed,NSC,chr13
Irf4,chr13,30749226,30766976,+,30739226,30749226,5.464615558981896,5.320135877227783,-0.1444796817541123,Mixed,NSC,chr13
Foxc1,chr13,31806633,31812476,+,31796633,31806633,8.127669184541702,6.354145121602218,-1.773524062939484,Mixed,NSC,chr13
Gmds,chr13,31819579,32338740,-,32338740,32348740,3.9113247258663177,4.48160898933808,0.5702842634717626,Mixed,NSC,chr13
Wrnip1,chr13,32802038,32822609,+,32792038,32802038,5.630703967344761,4.936464671949545,-0.6942392953952163,Mixed,NSC,chr13
1110046J04Rik,chr13,33935567,33960181,+,33925567,33935567,4.721445610046386,4.853653286979595,0.1322076769332092,Mixed,NSC,chr13
Ripk1,chr13,34002363,34037147,+,33992363,34002363,4.836781587636471,5.026762735776106,0.1899811481396351,Mixed,NSC,chr13
Bphl,chr13,34037597,34074074,+,34027597,34037597,6.553692262899876,5.751803275885185,-0.8018889870146912,Mixed,NSC,chr13
Tubb2a,chr13,34074274,34078007,-,34078007,34088007,6.451328238415718,5.196608419311047,-1.254719819104671,Mixed,NSC,chr13
Tubb2b,chr13,34126748,34130466,-,34130466,34140466,7.547402927672863,6.709038727009296,-0.838364200663567,Mixed,NSC,chr13
Psmg4,chr13,34162964,34178173,+,34152964,34162964,5.4202835855603215,5.42689804349343,0.0066144579331082,Mixed,NSC,chr13
Slc22a23,chr13,34179158,34345182,-,34345182,34355182,4.234091735100746,5.127416235649585,0.8933245005488395,Mixed,NSC,chr13
Gm15908,chr13,34652923,34666774,+,34642923,34652923,8.519640079915524,6.533016634400686,-1.9866234455148384,Mixed,NSC,chr13
Prpf4b,chr13,34875302,34906064,+,34865302,34875302,5.342017071926594,5.568722031565507,0.226704959638913,Mixed,NSC,chr13
Eci2,chr13,34977748,35027096,-,35027096,35037096,5.372901693117618,5.390762847610314,0.0178611544926958,Mixed,NSC,chr13
Cdyl,chr13,35659833,35874063,+,35649833,35659833,4.19667626016736,4.693004811088244,0.4963285509208841,Mixed,NSC,chr13
Rpp40,chr13,35893472,35906359,-,35906359,35916359,4.535428925192356,4.967770345890522,0.4323414206981661,Mixed,NSC,chr13
Ppp1r3g,chr13,35958839,35970388,+,35948839,35958839,6.154763802230359,5.4693128715872765,-0.685450930643082,Mixed,NSC,chr13
Lyrm4,chr13,35978395,36117526,-,36117526,36127526,3.8656764158844954,4.750922563588619,0.8852461477041249,Mixed,NSC,chr13
Nrn1,chr13,36725361,36735131,-,36735131,36745131,6.815980641520024,4.988005698504051,-1.827974943015972,Mixed,NSC,chr13
Rreb1,chr13,37778400,37952005,+,37768400,37778400,4.66529572981596,4.71380187189579,0.0485061420798302,Mixed,NSC,chr13
Ssr1,chr13,37966605,37994217,-,37994217,38004217,4.356498415648938,4.526839057940244,0.1703406422913067,Mixed,NSC,chr13
Cage1,chr13,38006052,38037069,-,38037069,38047069,5.61469721416235,5.5006808866123365,-0.1140163275500132,Mixed,NSC,chr13
Dsp,chr13,38151294,38198577,+,38141294,38151294,5.046668095648289,4.8310667319417,-0.2156013637065887,Mixed,NSC,chr13
Snrnp48,chr13,38204938,38227665,+,38194938,38204938,5.513040121793748,4.497041579119365,-1.0159985426743825,Mixed,NSC,chr13
Bmp6,chr13,38345107,38500302,+,38335107,38345107,4.88393189752102,5.056403780996799,0.1724718834757794,Mixed,NSC,chr13
Txndc5,chr13,38500079,38528824,-,38528824,38538824,6.165690738618373,5.111607427930832,-1.054083310687541,Mixed,NSC,chr13
Bloc1s5,chr13,38592842,38635109,-,38635109,38645109,4.984153261733055,4.501225321996212,-0.4829279397368431,Mixed,NSC,chr13
Eef1e1,chr13,38644207,38659058,-,38659058,38669058,5.148078064858914,4.532612588834763,-0.6154654760241511,Mixed,NSC,chr13
Slc35b3,chr13,38932136,38960875,-,38960875,38970875,4.139798358500004,5.2118493120869,1.0720509535868965,Mixed,NSC,chr13
Tfap2a,chr13,40715302,40738376,-,40738376,40748376,6.136920306277276,4.794515635661285,-1.3424046706159904,Mixed,NSC,chr13
A730081D07Rik,chr13,40956414,41001151,-,41001151,41011151,5.720792115056515,5.873785507249832,0.1529933921933173,Mixed,NSC,chr13
Pak1ip1,chr13,41001023,41013015,+,40991023,41001023,5.060272478795051,4.965278371584415,-0.0949941072106357,Mixed,NSC,chr13
Tmem14c,chr13,41016292,41022586,+,41006292,41016292,4.7747296183109285,5.452318702069918,0.6775890837589893,Mixed,NSC,chr13
Mak,chr13,41025008,41079706,-,41079706,41089706,5.236118805003166,5.260971802369753,0.0248529973665876,Mixed,NSC,chr13
Elovl2,chr13,41182381,41220405,-,41220405,41230405,5.401313269734382,5.338948214530944,-0.062365055203438,Mixed,NSC,chr13
Smim13,chr13,41249844,41276577,+,41239844,41249844,6.996581609296799,6.042100276295344,-0.9544813330014552,Mixed,NSC,chr13
Nedd9,chr13,41309581,41487362,-,41487362,41497362,4.46002891702652,4.975315473492941,0.5152865564664211,Mixed,NSC,chr13
Tmem170b,chr13,41605907,41641355,+,41595907,41605907,3.7173974624454975,4.573222006555398,0.8558245441099008,Mixed,NSC,chr13
Hivep1,chr13,42052021,42192537,+,42042021,42052021,4.174979734599591,4.447477501734098,0.2724977671345074,Mixed,NSC,chr13
Tbc1d7,chr13,43151740,43171501,-,43171501,43181501,6.219328258675337,5.959594077857336,-0.2597341808180013,Mixed,NSC,chr13
Gfod1,chr13,43195245,43304172,-,43304172,43314172,6.789049890172482,5.071957250905037,-1.7170926392674453,Mixed,NSC,chr13
Sirt5,chr13,43365496,43395203,+,43355496,43365496,5.723276475536824,5.275104183181126,-0.4481722923556974,Mixed,NSC,chr13
Nol7,chr13,43398390,43407097,+,43388390,43398390,3.038441327393055,2.4063047600189846,-0.6321365673740704,Mixed,NSC,chr13
Mcur1,chr13,43538393,43560191,-,43560191,43570191,5.377006377100945,4.371247499704361,-1.005758877396584,Mixed,NSC,chr13
Rnf182,chr13,43615710,43670945,+,43605710,43615710,6.014044651746751,5.208270920236905,-0.8057737315098459,Mixed,NSC,chr13
Cd83,chr13,43784775,43803132,+,43774775,43784775,7.097022928953171,5.612033341407776,-1.4849895875453951,Mixed,NSC,chr13
Jarid2,chr13,44729474,44921643,+,44719474,44729474,5.392574852228164,5.211880834186077,-0.1806940180420868,Mixed,NSC,chr13
Dtnbp1,chr13,44922075,45002147,-,45002147,45012147,4.818108292281628,4.7131228992939,-0.1049853929877278,Mixed,NSC,chr13
Mylip,chr13,45389742,45412022,+,45379742,45389742,5.4031206655025485,5.225449798484644,-0.1776708670179045,Mixed,NSC,chr13
Gmpr,chr13,45507444,45553800,+,45497444,45507444,5.921082389819622,5.619778771738211,-0.3013036180814108,Mixed,NSC,chr13
Atxn1,chr13,45549755,45965008,-,45965008,45975008,4.355494814133644,4.190056872781118,-0.1654379413525264,Mixed,NSC,chr13
Rbm24,chr13,46418434,46431095,+,46408434,46418434,5.185843446528912,4.895686502524217,-0.2901569440046945,Mixed,NSC,chr13
Fam8a1,chr13,46669522,46678056,+,46659522,46669522,6.298209801828861,5.244228179109097,-1.053981622719764,Mixed,NSC,chr13
Nup153,chr13,46679905,46727940,-,46727940,46737940,4.576584000170231,4.807196642518044,0.2306126423478138,Mixed,NSC,chr13
Kif13a,chr13,46749087,46929867,-,46929867,46939867,7.445284353423118,5.841131089444954,-1.604153263978164,Mixed,NSC,chr13
Nhlrc1,chr13,47012557,47014850,-,47014850,47024850,4.158096460461616,4.430289149880409,0.2721926894187927,Mixed,NSC,chr13
Kdm1b,chr13,47043499,47085279,+,47033499,47043499,6.3229103374600415,5.778494600536426,-0.5444157369236153,Mixed,NSC,chr13
Dek,chr13,47084775,47106201,-,47106201,47116201,4.846268133282662,5.1233090514977775,0.2770409182151159,Mixed,NSC,chr13
Rnf144b,chr13,47122656,47247991,+,47112656,47122656,4.810521227407455,5.295527179213365,0.4850059518059098,Mixed,NSC,chr13
Id4,chr13,48261228,48266026,+,48251228,48261228,4.929776717460156,4.981355614209175,0.0515788967490191,Mixed,NSC,chr13
Zfp169,chr13,48487647,48513451,-,48513451,48523451,3.720969486272335,4.660416100847721,0.939446614575386,Mixed,NSC,chr13
Ptpdc1,chr13,48577872,48625664,-,48625664,48635664,6.171796333503724,5.810787857011953,-0.3610084764917705,Mixed,NSC,chr13
Barx1,chr13,48662998,48666507,+,48652998,48662998,7.3994477650284765,5.648286649155616,-1.7511611158728604,Mixed,NSC,chr13
Phf2,chr13,48801750,48871119,-,48871119,48881119,5.844859005355835,5.1925366989851005,-0.6523223063707349,Mixed,NSC,chr13
Fam120a,chr13,48879219,48968017,-,48968017,48978017,6.356153325664996,6.072897175653775,-0.2832561500112209,Mixed,NSC,chr13
Wnk2,chr13,49036303,49148014,-,49148014,49158014,7.81798455568552,6.544626285592716,-1.273358270092804,Mixed,NSC,chr13
Ninj1,chr13,49187485,49196244,+,49177485,49187485,7.8882932054400445,6.338852278649807,-1.5494409267902371,Mixed,NSC,chr13
Card19,chr13,49202950,49216037,-,49216037,49226037,7.136790510892868,5.908947101489702,-1.2278434094031656,Mixed,NSC,chr13
Bicd2,chr13,49341585,49387026,+,49331585,49341585,7.464970358729363,5.996035630206268,-1.4689347285230951,Mixed,NSC,chr13
Ippk,chr13,49421249,49464573,+,49411249,49421249,6.846291167986394,5.258831307685376,-1.587459860301018,Mixed,NSC,chr13
Cenpp,chr13,49464023,49652785,-,49652785,49662785,3.3716568300724026,4.784906364679337,1.4132495346069345,Mixed,NSC,chr13
Fbxw17,chr13,50417864,50433780,+,50407864,50417864,5.135947677123546,4.755741196477413,-0.3802064806461329,Mixed,NSC,chr13
Spin1,chr13,51100880,51152546,+,51090880,51100880,6.884493959069252,5.083786711235841,-1.8007072478334116,Mixed,NSC,chr13
Nxnl2,chr13,51171022,51175188,+,51161022,51171022,5.8461414295673375,4.890281655625503,-0.9558597739418344,Mixed,NSC,chr13
S1pr3,chr13,51408639,51422797,+,51398639,51408639,6.105929374098778,6.080458467616637,-0.0254709064821412,Mixed,NSC,chr13
Shc3,chr13,51431041,51569487,-,51569487,51579487,6.234727985048294,5.866413018238544,-0.3683149668097503,Mixed,NSC,chr13
Cks2,chr13,51645232,51650660,+,51635232,51645232,3.762967490875721,4.685420481606324,0.9224529907306032,Mixed,NSC,chr13
Secisbp2,chr13,51651697,51684044,+,51641697,51651697,5.496286479365826,6.083648062260946,0.5873615828951202,Mixed,NSC,chr13
Sema4d,chr13,51685529,51793747,-,51793747,51803747,7.755820170974731,6.404190547788143,-1.3516296231865883,Mixed,NSC,chr13
Gadd45g,chr13,51846678,51848468,+,51836678,51846678,8.292192975258828,6.746695214351019,-1.5454977609078098,Mixed,NSC,chr13
Diras2,chr13,52504380,52531279,-,52531279,52541279,6.739302416431904,5.611849794644118,-1.1274526217877856,Mixed,NSC,chr13
Syk,chr13,52583173,52648792,+,52573173,52583173,5.431778149563074,5.258152757060528,-0.1736253925025463,Mixed,NSC,chr13
Auh,chr13,52835119,52929681,-,52929681,52939681,6.675841468036175,5.5677570455710095,-1.1080844224651658,Mixed,NSC,chr13
Nfil3,chr13,52967209,52981073,-,52981073,52991073,7.264142652451992,6.081684534460305,-1.1824581179916862,Mixed,NSC,chr13
Ror2,chr13,53109312,53286124,-,53286124,53296124,5.653365990591049,5.650727413201332,-0.0026385773897175,Mixed,NSC,chr13
Sptlc1,chr13,53332748,53377397,-,53377397,53387397,5.720752932369709,4.755739732678731,-0.9650131996909774,Mixed,NSC,chr13
Msx2,chr13,53466884,53473074,-,53473074,53483074,5.79908046529293,4.962529106807708,-0.836551358485222,Mixed,NSC,chr13
Drd1,chr13,54051183,54055705,-,54055705,54065705,6.244848033845424,5.6200338965257,-0.6248141373197242,Mixed,NSC,chr13
Sfxn1,chr13,54071869,54108342,+,54061869,54071869,6.046695824956895,5.83003022932609,-0.2166655956308041,Mixed,NSC,chr13
Cplx2,chr13,54371349,54383917,+,54361349,54371349,9.891202244114876,6.470678675532341,-3.420523568582535,Euchromatin,NSC,chr13
Thoc3,chr13,54458837,54468849,-,54468849,54478849,7.163208390855789,6.239000165412823,-0.9242082254429658,Mixed,NSC,chr13
Simc1,chr13,54503779,54551290,+,54493779,54503779,4.811273103821278,5.089982870554923,0.2787097667336455,Mixed,NSC,chr13
4833439L19Rik,chr13,54551218,54565435,-,54565435,54575435,8.483778121978045,6.075971402188142,-2.4078067197899022,Euchromatin,NSC,chr13
Arl10,chr13,54575015,54581128,+,54565015,54575015,8.736251527160405,6.199506760289271,-2.5367447668711343,Euchromatin,NSC,chr13
Nop16,chr13,54584185,54590090,-,54590090,54600090,9.49485064202547,6.876615551114082,-2.618235090911389,Euchromatin,NSC,chr13
Cltb,chr13,54592401,54611344,-,54611344,54621344,6.328448852968216,5.622349297869206,-0.7060995550990103,Mixed,NSC,chr13
Faf2,chr13,54621784,54664063,+,54611784,54621784,6.269161725819111,5.657016236241659,-0.6121454895774523,Mixed,NSC,chr13
Rnf44,chr13,54679399,54693907,-,54693907,54703907,9.35247206777334,6.786995521306992,-2.56547654646635,Euchromatin,NSC,chr13
Gprin1,chr13,54736671,54749874,-,54749874,54759874,8.248567747890949,6.788937065462271,-1.4596306824286778,Mixed,NSC,chr13
Sncb,chr13,54758860,54766595,-,54766595,54776595,4.164109807282686,2.8102167825202145,-1.3538930247624714,Mixed,NSC,chr13
Tspan17,chr13,54789377,54796776,+,54779377,54789377,7.919158272385597,6.105130351271232,-1.8140279211143653,Mixed,NSC,chr13
Unc5a,chr13,54949411,55006018,+,54939411,54949411,8.260325262218714,6.195394027547041,-2.064931234671673,Euchromatin,NSC,chr13
Uimc1,chr13,55027880,55100300,-,55100300,55110300,5.898536247968673,5.29451503398021,-0.6040212139884629,Mixed,NSC,chr13
Zfp346,chr13,55105311,55134825,+,55095311,55105311,5.545191972386837,4.883962290557226,-0.6612296818296111,Mixed,NSC,chr13
Fgfr4,chr13,55152640,55168759,+,55142640,55152640,5.4937074457407,4.578005854566892,-0.915701591173808,Mixed,NSC,chr13
Nsd1,chr13,55209782,55318325,+,55199782,55209782,7.231600838804244,5.467613626380761,-1.7639872124234834,Mixed,NSC,chr13
Rab24,chr13,55319743,55321946,-,55321946,55331946,11.24711096214056,7.764526620972156,-3.482584341168404,Euchromatin,NSC,chr13
Mxd3,chr13,55325168,55329823,-,55329823,55339823,9.137787224018574,7.08105680830876,-2.056730415709814,Euchromatin,NSC,chr13
Lman2,chr13,55343833,55362783,-,55362783,55372783,9.233790049266815,6.851710987838108,-2.3820790614287075,Euchromatin,NSC,chr13
Pfn3,chr13,55414688,55415232,-,55415232,55425232,7.483701281511784,6.058368980109691,-1.4253323014020929,Mixed,NSC,chr13
Grk6,chr13,55445072,55460927,+,55435072,55445072,7.40566650838852,6.089848823082448,-1.3158176853060723,Mixed,NSC,chr13
