gene,chrom,start,end,strand,promoter_start,promoter_end,s2s_signal,s3_signal,diff,state,cell_type,chromosome
Zmynd11,chr13,9684833,9765330,-,9765330,9775330,3.92267448925972,4.746197055617968,0.8235225663582479,Mixed,Neu,chr13
Chrm3,chr13,9875486,10360847,-,10360847,10370847,2.71183333837986,3.644588652404149,0.932755314024289,Mixed,Neu,chr13
Ryr2,chr13,11553102,12106945,-,12106945,12116945,3.4696475200653074,4.727925028006236,1.258277507940928,Mixed,Neu,chr13
Mtr,chr13,12182712,12258113,-,12258113,12268113,1.8362577253580092,2.181197196062406,0.3449394707043964,Mixed,Neu,chr13
Heatr1,chr13,12395027,12440289,+,12385027,12395027,5.094288743138313,4.98129610973994,-0.112992633398373,Mixed,Neu,chr13
Lgals8,chr13,12439415,12464944,-,12464944,12474944,4.576791347718239,4.7126474150339766,0.1358560673157374,Mixed,Neu,chr13
Edaradd,chr13,12472632,12520438,-,12520438,12530438,3.465616860365868,3.8747842655817664,0.4091674052158986,Mixed,Neu,chr13
Lyst,chr13,13590397,13778803,+,13580397,13590397,3.2220870074987413,4.408740118829409,1.186653111330668,Mixed,Neu,chr13
Gng4,chr13,13784059,13827896,+,13774059,13784059,4.331801176667214,4.8839375274419785,0.5521363507747648,Mixed,Neu,chr13
B3galnt2,chr13,13954469,13999103,+,13944469,13954469,5.069736695408821,4.409123723157247,-0.6606129722515739,Mixed,Neu,chr13
Tbce,chr13,13997949,14039638,-,14039638,14049638,5.669011967396736,5.033671916890145,-0.6353400505065911,Mixed,Neu,chr13
Ggps1,chr13,14050659,14063488,-,14063488,14073488,4.374385349822045,5.445789684542021,1.0714043347199755,Mixed,Neu,chr13
Psma2,chr13,14613240,14674236,+,14603240,14613240,3.6826465004682536,4.415149525403977,0.7325030249357232,Mixed,Neu,chr13
Gli3,chr13,15463235,15730026,+,15453235,15463235,2.8495727216005324,4.478690962354342,1.6291182407538098,Mixed,Neu,chr13
Sugct,chr13,16857472,17695553,-,17695553,17705553,3.3213377187252044,5.097273710012436,1.7759359912872317,Mixed,Neu,chr13
Cdk13,chr13,17710315,17805097,-,17805097,17815097,4.21026904540062,5.354587702520688,1.1443186571200687,Mixed,Neu,chr13
Rala,chr13,17880571,17944239,-,17944239,17954239,3.780046723842621,4.864488221859932,1.084441498017311,Mixed,Neu,chr13
Yae1d1,chr13,17981330,17993349,-,17993349,18003349,4.699190094447136,5.110035680866241,0.4108455864191045,Mixed,Neu,chr13
Amph,chr13,18948205,19150921,+,18938205,18948205,2.9149805550575256,4.165646679600079,1.2506661245425534,Mixed,Neu,chr13
Stard3nl,chr13,19357676,19395795,-,19395795,19405795,2.776970027327538,4.57133341538906,1.7943633880615222,Mixed,Neu,chr13
Epdr1,chr13,19591706,19619927,-,19619927,19629927,3.11938805603981,4.6315552125295,1.5121671564896904,Mixed,Neu,chr13
Sfrp4,chr13,19623104,19632994,+,19613104,19623104,3.111438545036316,4.555832395513852,1.4443938504775369,Mixed,Neu,chr13
Elmo1,chr13,20090596,20608353,+,20080596,20090596,2.653906031680107,5.463115724110604,2.809209692430497,Heterochromatin,Neu,chr13
Trim27,chr13,21179445,21194724,+,21169445,21179445,3.5991439878940583,3.891981924494108,0.2928379366000495,Mixed,Neu,chr13
Zscan12,chr13,21362820,21372289,+,21352820,21362820,4.471826132059098,3.755399131615956,-0.7164270004431419,Mixed,Neu,chr13
Zkscan3,chr13,21387003,21402755,-,21402755,21412755,3.0295701849460603,4.73536107714971,1.7057908922036495,Mixed,Neu,chr13
Pgbd1,chr13,21421275,21441058,-,21441058,21451058,3.9391174954414367,4.708848311591149,0.7697308161497123,Mixed,Neu,chr13
Nkapl,chr13,21467047,21468509,-,21468509,21478509,4.338298811197281,4.49762966140906,0.1593308502117789,Mixed,Neu,chr13
Zkscan8,chr13,21513222,21531120,-,21531120,21541120,2.546388783216477,6.469828480641048,3.92343969742457,Heterochromatin,Neu,chr13
H2bc13,chr13,21715763,21716143,-,21716143,21726143,2.857796368634701,3.750147802138328,0.8923514335036269,Mixed,Neu,chr13
H3c10,chr13,21717659,21718069,+,21707659,21717659,3.941733256459236,4.115813620440165,0.1740803639809289,Mixed,Neu,chr13
H2bc14,chr13,21722044,21722567,+,21712044,21722044,3.346942698764801,3.6438725342512135,0.2969298354864125,Mixed,Neu,chr13
H4c11,chr13,21735064,21735837,+,21725064,21735064,3.7664671678304673,5.123227699041367,1.3567605312108997,Mixed,Neu,chr13
H4c12,chr13,21750194,21750505,-,21750505,21760505,1.8959539602398872,3.8342654840946193,1.938311523854732,Mixed,Neu,chr13
H2ac15,chr13,21753435,21753827,-,21753827,21763827,2.229294888973236,3.5140209697882336,1.2847260808149978,Mixed,Neu,chr13
H2bc15,chr13,21754123,21754503,+,21744123,21754123,1.9321142015457151,4.367766947873434,2.4356527463277184,Heterochromatin,Neu,chr13
H1f5,chr13,21779883,21780625,-,21780625,21790625,2.2432179853916168,4.296105023423831,2.052887038032214,Heterochromatin,Neu,chr13
H3c11,chr13,21782960,21783370,-,21783370,21793370,2.614656367778778,4.39797703063488,1.7833206628561022,Mixed,Neu,chr13
Zfp184,chr13,21945094,21960779,+,21935094,21945094,2.8470979790449142,4.181394750698408,1.3342967716534933,Mixed,Neu,chr13
Pom121l2,chr13,21981194,21988734,+,21971194,21981194,3.94804238615036,3.985807578317324,0.0377651921669639,Mixed,Neu,chr13
Prss16,chr13,22002173,22009742,-,22009742,22019742,2.7928123284101485,4.44393561240832,1.6511232839981718,Mixed,Neu,chr13
H2ac12,chr13,22035164,22035568,-,22035568,22045568,2.8942860837697983,4.049531076582273,1.1552449928124746,Mixed,Neu,chr13
H4c9,chr13,22040636,22041362,-,22041362,22051362,3.1314874153137207,4.210662458372116,1.0791750430583948,Mixed,Neu,chr13
H2ac11,chr13,22042460,22042944,-,22042944,22052944,3.189451704978943,4.011041218280793,0.8215895133018503,Mixed,Neu,chr13
Zfp322a,chr13,23353103,23369208,-,23369208,23379208,6.227321441555023,4.09347235271136,-2.1338490888436628,Euchromatin,Neu,chr13
Abt1,chr13,23418361,23423866,-,23423866,23433866,3.1837980643510817,5.185258062672616,2.001459998321534,Heterochromatin,Neu,chr13
Btn1a1,chr13,23456992,23465901,-,23465901,23475901,3.2800236067533493,4.583493602347375,1.3034699955940252,Mixed,Neu,chr13
H4c8,chr13,23531050,23531519,+,23521050,23531050,3.790102736830711,4.153368259072304,0.3632655222415923,Mixed,Neu,chr13
H2ac10,chr13,23533906,23534304,+,23523906,23533906,3.161260203766823,4.074333582242329,0.9130733784755064,Mixed,Neu,chr13
H3c8,chr13,23535422,23535951,+,23525422,23535422,3.079248215198517,3.928768031938871,0.8495198167403539,Mixed,Neu,chr13
H2bc9,chr13,23541714,23543392,-,23543392,23553392,1.94776231944561,3.624587076528867,1.6768247570832568,Mixed,Neu,chr13
H3c7,chr13,23544052,23545312,+,23534052,23544052,3.5998172323703765,4.313277090644837,0.7134598582744602,Mixed,Neu,chr13
H4c6,chr13,23551258,23551648,-,23551648,23561648,2.3753152151584627,4.697235217285155,2.3219200021266926,Heterochromatin,Neu,chr13
H1f3,chr13,23553262,23560686,+,23543262,23553262,1.9653410288095472,3.65778442440033,1.6924433955907827,Mixed,Neu,chr13
H3c6,chr13,23561534,23562369,-,23562369,23572369,2.1461903399944307,4.998447582014402,2.852257242019971,Heterochromatin,Neu,chr13
H2ac8,chr13,23570517,23571220,-,23571220,23581220,2.115792289376259,3.670259917100271,1.554467627724012,Mixed,Neu,chr13
H2ac7,chr13,23574381,23574952,+,23564381,23574381,1.914982826781273,4.763992926565806,2.8490100997845333,Heterochromatin,Neu,chr13
H3c4,chr13,23575763,23577011,+,23565763,23575763,1.5813778654575348,4.4692259369293845,2.8878480714718497,Heterochromatin,Neu,chr13
H4c4,chr13,23581598,23582735,+,23571598,23581598,2.47840728855133,3.715513997356096,1.2371067088047665,Mixed,Neu,chr13
H1f4,chr13,23620629,23622558,-,23622558,23632558,3.4976547318696976,5.1250511693875,1.627396437517802,Mixed,Neu,chr13
H2ac6,chr13,23681467,23683948,-,23683948,23693948,3.3695674720287325,5.062803868714968,1.6932363966862356,Mixed,Neu,chr13
H4c3,chr13,23697635,23698454,-,23698454,23708454,3.920465914273262,4.877331086365381,0.9568651720921192,Mixed,Neu,chr13
H1f2,chr13,23738808,23740367,+,23728808,23738808,2.4098691630363467,3.698929787151019,1.2890606241146725,Mixed,Neu,chr13
H3c3,chr13,23744973,23745602,-,23745602,23755602,2.1101898047924044,4.259425946418444,2.14923614162604,Heterochromatin,Neu,chr13
H2bc3,chr13,23746734,23747241,+,23736734,23746734,2.1186333832740782,4.346219435938199,2.2275860526641207,Heterochromatin,Neu,chr13
H2ac4,chr13,23751126,23751598,+,23741126,23751126,2.4006555479288103,4.206158089796702,1.805502541867892,Mixed,Neu,chr13
H3c2,chr13,23752267,23752886,+,23742267,23752267,2.5451543177247045,4.164495934669176,1.619341616944472,Mixed,Neu,chr13
H4c2,chr13,23757013,23757409,+,23747013,23757013,2.384551579475403,4.361128133630753,1.9765765541553495,Mixed,Neu,chr13
H4c1,chr13,23760692,23761230,-,23761230,23771230,3.2688817282915115,3.84650577100118,0.5776240427096684,Mixed,Neu,chr13
H1f1,chr13,23763666,23764406,+,23753666,23763666,2.4422684659957885,4.735625279935202,2.2933568139394134,Heterochromatin,Neu,chr13
Carmil1,chr13,24012344,24280795,-,24280795,24290795,5.762794072389603,4.623064235627651,-1.1397298367619522,Mixed,Neu,chr13
Ripor2,chr13,24501525,24733816,+,24491525,24501525,3.7620669451951976,4.437682750582695,0.6756158053874977,Mixed,Neu,chr13
Gmnn,chr13,24751845,24761923,-,24761923,24771923,2.4102557743787765,2.189391296251615,-0.2208644781271616,Mixed,Neu,chr13
BC005537,chr13,24801657,24816197,+,24791657,24801657,5.059666710376739,3.962197520971298,-1.097469189405441,Mixed,Neu,chr13
Tdp2,chr13,24831679,24842153,+,24821679,24831679,6.556438273191452,4.779950348333518,-1.7764879248579335,Mixed,Neu,chr13
D130043K22Rik,chr13,24845135,24901270,+,24835135,24845135,3.0646682794094087,4.708536223967871,1.643867944558462,Mixed,Neu,chr13
9330162012Rik,chr13,24937401,24941417,+,24927401,24937401,4.980768926167488,5.357029766758283,0.3762608405907954,Mixed,Neu,chr13
Mrs2,chr13,24987483,25020379,-,25020379,25030379,3.780287445425987,3.6270444946289055,-0.1532429507970807,Mixed,Neu,chr13
Dcdc2a,chr13,25056004,25210706,+,25046004,25056004,5.841208742642403,4.29717018837134,-1.5440385542710624,Mixed,Neu,chr13
Sox4,chr13,28948919,28953713,-,28953713,28963713,4.545340259075165,4.4312003113587695,-0.1141399477163958,Mixed,Neu,chr13
Cdkal1,chr13,29191746,29855674,-,29855674,29865674,3.9052838312149047,4.5567085983594255,0.6514247671445208,Mixed,Neu,chr13
E2f3,chr13,29906575,29986063,-,29986063,29996063,3.1791828420162203,4.682594091796875,1.5034112497806549,Mixed,Neu,chr13
Mboat1,chr13,30136489,30246717,+,30126489,30136489,4.778293877959252,4.449779290874799,-0.3285145870844523,Mixed,Neu,chr13
Uqcrfs1,chr13,30540308,30545362,-,30545362,30555362,4.080217660331726,5.175961980374654,1.095744320042928,Mixed,Neu,chr13
Dusp22,chr13,30659999,30711231,+,30649999,30659999,4.30916937406063,4.630025551104546,0.3208561770439155,Mixed,Neu,chr13
Exoc2,chr13,30813919,30974093,-,30974093,30984093,3.6740877430438994,4.941176320528984,1.2670885774850849,Mixed,Neu,chr13
Foxq1,chr13,31556134,31560976,+,31546134,31556134,2.8287236135721208,4.949213464188575,2.1204898506164542,Heterochromatin,Neu,chr13
Foxf2,chr13,31625816,31631403,+,31615816,31625816,4.832684478116036,4.067806795398394,-0.7648776827176418,Mixed,Neu,chr13
Foxc1,chr13,31806633,31812476,+,31796633,31806633,4.954814081835746,4.851911188356081,-0.1029028934796647,Mixed,Neu,chr13
Gmds,chr13,31819579,32338740,-,32338740,32348740,2.803322597503662,4.698055285135904,1.894732687632242,Mixed,Neu,chr13
Wrnip1,chr13,32802038,32822609,+,32792038,32802038,3.9582144818067553,4.427046157821018,0.468831676014263,Mixed,Neu,chr13
1110046J04Rik,chr13,33935567,33960181,+,33925567,33935567,3.7206100331306455,5.014854157233239,1.294244124102593,Mixed,Neu,chr13
Ripk1,chr13,34002363,34037147,+,33992363,34002363,3.957733912110328,4.980196958144505,1.022463046034177,Mixed,Neu,chr13
Bphl,chr13,34037597,34074074,+,34027597,34037597,5.541561379528045,5.821885042730966,0.2803236632029211,Mixed,Neu,chr13
Tubb2a,chr13,34074274,34078007,-,34078007,34088007,3.907900018501282,4.538295186956723,0.6303951684554407,Mixed,Neu,chr13
Tubb2b,chr13,34126748,34130466,-,34130466,34140466,3.1257618034839627,4.508087574807803,1.3823257713238402,Mixed,Neu,chr13
Psmg4,chr13,34162964,34178173,+,34152964,34162964,3.968865981197357,5.239879680720964,1.271013699523607,Mixed,Neu,chr13
Slc22a23,chr13,34179158,34345182,-,34345182,34355182,3.395290488505363,4.945746533242862,1.550456044737499,Mixed,Neu,chr13
Gm15908,chr13,34652923,34666774,+,34642923,34652923,5.026080156087875,4.236937929924328,-0.7891422261635475,Mixed,Neu,chr13
Prpf4b,chr13,34875302,34906064,+,34865302,34875302,3.9284019981145857,4.781610047944387,0.8532080498298011,Mixed,Neu,chr13
Eci2,chr13,34977748,35027096,-,35027096,35037096,3.892200598025322,4.633136311833064,0.7409357138077417,Mixed,Neu,chr13
Cdyl,chr13,35659833,35874063,+,35649833,35659833,3.581095490074158,5.294256208395958,1.7131607183218,Mixed,Neu,chr13
Rpp40,chr13,35893472,35906359,-,35906359,35916359,3.987135251045228,5.541731300910314,1.5545960498650864,Mixed,Neu,chr13
Ppp1r3g,chr13,35958839,35970388,+,35948839,35958839,4.037281533789635,3.0749645910263066,-0.9623169427633282,Mixed,Neu,chr13
Lyrm4,chr13,35978395,36117526,-,36117526,36127526,3.2497901309728623,4.713447632257144,1.4636575012842816,Mixed,Neu,chr13
Nrn1,chr13,36725361,36735131,-,36735131,36745131,4.983885012626648,4.120796777335802,-0.8630882352908458,Mixed,Neu,chr13
Rreb1,chr13,37778400,37952005,+,37768400,37778400,4.1200055282115935,4.072091086387634,-0.0479144418239592,Mixed,Neu,chr13
Ssr1,chr13,37966605,37994217,-,37994217,38004217,4.894507224869728,4.011000940879186,-0.8835062839905419,Mixed,Neu,chr13
Cage1,chr13,38006052,38037069,-,38037069,38047069,3.8034231231212616,5.007810794758797,1.204387671637535,Mixed,Neu,chr13
Dsp,chr13,38151294,38198577,+,38141294,38151294,4.3482215895175935,4.7760642992417015,0.427842709724108,Mixed,Neu,chr13
Snrnp48,chr13,38204938,38227665,+,38194938,38204938,5.865424256181717,5.192336370062828,-0.6730878861188883,Mixed,Neu,chr13
Bmp6,chr13,38345107,38500302,+,38335107,38345107,3.840941324591637,4.7315399189869565,0.8905985943953194,Mixed,Neu,chr13
Txndc5,chr13,38500079,38528824,-,38528824,38538824,4.016152245020867,5.065855344629288,1.0497030996084211,Mixed,Neu,chr13
Bloc1s5,chr13,38592842,38635109,-,38635109,38645109,4.529983415532112,4.864574216103553,0.3345908005714406,Mixed,Neu,chr13
Eef1e1,chr13,38644207,38659058,-,38659058,38669058,3.684751195287705,4.008402223650614,0.3236510283629092,Mixed,Neu,chr13
Slc35b3,chr13,38932136,38960875,-,38960875,38970875,3.5629145425558093,4.457996813456218,0.8950822709004083,Mixed,Neu,chr13
Tfap2a,chr13,40715302,40738376,-,40738376,40748376,4.699198347449302,4.18081398481528,-0.5183843626340225,Mixed,Neu,chr13
A730081D07Rik,chr13,40956414,41001151,-,41001151,41011151,4.238709159493447,5.816751373187702,1.5780422136942551,Mixed,Neu,chr13
Pak1ip1,chr13,41001023,41013015,+,40991023,41001023,3.682313582396507,4.617557768885295,0.9352441864887876,Mixed,Neu,chr13
Tmem14c,chr13,41016292,41022586,+,41006292,41016292,3.490085222363472,5.600471393704415,2.110386171340943,Heterochromatin,Neu,chr13
Mak,chr13,41025008,41079706,-,41079706,41089706,5.072938318157196,4.596191548021634,-0.4767467701355619,Mixed,Neu,chr13
Elovl2,chr13,41182381,41220405,-,41220405,41230405,4.231151010513305,5.490502118031183,1.2593511075178778,Mixed,Neu,chr13
Smim13,chr13,41249844,41276577,+,41239844,41249844,4.674045905447006,4.7880631552934645,0.1140172498464586,Mixed,Neu,chr13
Nedd9,chr13,41309581,41487362,-,41487362,41497362,2.7712377319574357,5.174673467373848,2.403435735416413,Heterochromatin,Neu,chr13
Tmem170b,chr13,41605907,41641355,+,41595907,41605907,3.4597432335138323,5.18879582315286,1.7290525896390272,Mixed,Neu,chr13
Hivep1,chr13,42052021,42192537,+,42042021,42052021,3.9335334561109545,4.007049903623263,0.0735164475123082,Mixed,Neu,chr13
Tbc1d7,chr13,43151740,43171501,-,43171501,43181501,4.856686134052277,4.411470121161143,-0.4452160128911337,Mixed,Neu,chr13
Gfod1,chr13,43195245,43304172,-,43304172,43314172,5.234549823069572,4.292317779429754,-0.9422320436398176,Mixed,Neu,chr13
Sirt5,chr13,43365496,43395203,+,43355496,43365496,5.726814866685867,4.267625484848022,-1.4591893818378452,Mixed,Neu,chr13
Nol7,chr13,43398390,43407097,+,43388390,43398390,2.7266646724939347,1.924667402982712,-0.801997269511223,Mixed,Neu,chr13
Mcur1,chr13,43538393,43560191,-,43560191,43570191,2.892349438667297,5.189289574897289,2.296940136229992,Heterochromatin,Neu,chr13
Rnf182,chr13,43615710,43670945,+,43605710,43615710,4.150101887702942,4.306898269414901,0.1567963817119597,Mixed,Neu,chr13
Cd83,chr13,43784775,43803132,+,43774775,43784775,4.268407928586006,4.340975201487541,0.0725672729015345,Mixed,Neu,chr13
Jarid2,chr13,44729474,44921643,+,44719474,44729474,2.766975753068924,4.493250836976369,1.7262750839074448,Mixed,Neu,chr13
Dtnbp1,chr13,44922075,45002147,-,45002147,45012147,3.3208640392065045,5.005451834797859,1.6845877955913546,Mixed,Neu,chr13
Mylip,chr13,45389742,45412022,+,45379742,45389742,4.035697057175636,4.086581044220924,0.0508839870452879,Mixed,Neu,chr13
Gmpr,chr13,45507444,45553800,+,45497444,45507444,4.703445921421051,4.536269302860895,-0.1671766185601555,Mixed,Neu,chr13
Atxn1,chr13,45549755,45965008,-,45965008,45975008,3.368726767873764,3.9064680307467774,0.5377412628730132,Mixed,Neu,chr13
Rbm24,chr13,46418434,46431095,+,46408434,46418434,3.736309157776832,5.020533021521568,1.2842238637447356,Mixed,Neu,chr13
Fam8a1,chr13,46669522,46678056,+,46659522,46669522,4.723474873805047,4.430311510181427,-0.293163363623619,Mixed,Neu,chr13
Nup153,chr13,46679905,46727940,-,46727940,46737940,3.3582336094379426,4.560233168562253,1.201999559124311,Mixed,Neu,chr13
Kif13a,chr13,46749087,46929867,-,46929867,46939867,3.6904717367410655,4.137348438628514,0.4468767018874486,Mixed,Neu,chr13
Nhlrc1,chr13,47012557,47014850,-,47014850,47024850,3.00571849155426,3.2117930723031365,0.2060745807488766,Mixed,Neu,chr13
Kdm1b,chr13,47043499,47085279,+,47033499,47043499,3.3084321479320526,3.8845970098257054,0.5761648618936537,Mixed,Neu,chr13
Dek,chr13,47084775,47106201,-,47106201,47116201,3.550259758710861,3.7532525098244345,0.2029927511135736,Mixed,Neu,chr13
Rnf144b,chr13,47122656,47247991,+,47112656,47122656,3.368946938419342,3.971420222679774,0.6024732842604319,Mixed,Neu,chr13
Id4,chr13,48261228,48266026,+,48251228,48261228,3.914475953054428,4.475585472345352,0.5611095192909237,Mixed,Neu,chr13
Zfp169,chr13,48487647,48513451,-,48513451,48523451,4.526022318482399,4.959631685344378,0.4336093668619787,Mixed,Neu,chr13
Ptpdc1,chr13,48577872,48625664,-,48625664,48635664,3.791998842144012,4.688156875522931,0.8961580333789185,Mixed,Neu,chr13
Barx1,chr13,48662998,48666507,+,48652998,48662998,4.596267751502991,4.028912525598208,-0.5673552259047829,Mixed,Neu,chr13
Fam120a,chr13,48879219,48968017,-,48968017,48978017,3.7171355201840406,5.070298644908269,1.3531631247242286,Mixed,Neu,chr13
Wnk2,chr13,49036303,49148014,-,49148014,49158014,5.889111089706421,5.410019208598136,-0.4790918811082845,Mixed,Neu,chr13
Ninj1,chr13,49187485,49196244,+,49177485,49187485,5.851123070120812,4.708478543361028,-1.142644526759784,Mixed,Neu,chr13
Card19,chr13,49202950,49216037,-,49216037,49226037,5.662523214387893,4.03098252351284,-1.6315406908750534,Mixed,Neu,chr13
Bicd2,chr13,49341585,49387026,+,49331585,49341585,5.531308090806007,4.397891961812973,-1.1334161289930345,Mixed,Neu,chr13
Ippk,chr13,49421249,49464573,+,49411249,49421249,5.502053512501718,5.5186492725571,0.0165957600553818,Mixed,Neu,chr13
Cenpp,chr13,49464023,49652785,-,49652785,49662785,3.613248997092247,5.155319715023041,1.5420707179307942,Mixed,Neu,chr13
Fbxw17,chr13,50417864,50433780,+,50407864,50417864,4.420851280927659,4.032263986706734,-0.3885872942209252,Mixed,Neu,chr13
Spin1,chr13,51100880,51152546,+,51090880,51100880,5.656457860350609,3.7641965915759408,-1.8922612687746685,Mixed,Neu,chr13
S1pr3,chr13,51408639,51422797,+,51398639,51408639,5.323275247502328,4.32276001598835,-1.0005152315139778,Mixed,Neu,chr13
Shc3,chr13,51431041,51569487,-,51569487,51579487,3.788344966888428,4.985881541101138,1.1975365742127106,Mixed,Neu,chr13
Cks2,chr13,51645232,51650660,+,51635232,51645232,3.353300573348999,3.0886331508477523,-0.2646674225012466,Mixed,Neu,chr13
Secisbp2,chr13,51651697,51684044,+,51641697,51651697,3.749151989102364,4.661993460059166,0.9128414709568018,Mixed,Neu,chr13
Sema4d,chr13,51685529,51793747,-,51793747,51803747,3.852338401579857,4.019443881428241,0.1671054798483844,Mixed,Neu,chr13
Gadd45g,chr13,51846678,51848468,+,51836678,51846678,4.694483831167221,4.442228942934672,-0.2522548882325495,Mixed,Neu,chr13
Diras2,chr13,52504380,52531279,-,52531279,52541279,3.4981750103712086,4.117185498388609,0.6190104880174001,Mixed,Neu,chr13
Syk,chr13,52583173,52648792,+,52573173,52583173,4.128580482935905,4.460820636745294,0.3322401538093888,Mixed,Neu,chr13
Auh,chr13,52835119,52929681,-,52929681,52939681,5.228782185757161,4.414096167254447,-0.814686018502714,Mixed,Neu,chr13
Nfil3,chr13,52967209,52981073,-,52981073,52991073,6.0608244582176205,4.741407634536425,-1.3194168236811956,Mixed,Neu,chr13
Ror2,chr13,53109312,53286124,-,53286124,53296124,3.198636719942093,4.183793988442421,0.9851572685003274,Mixed,Neu,chr13
Sptlc1,chr13,53332748,53377397,-,53377397,53387397,3.310256449687481,3.9285487392822898,0.6182922895948089,Mixed,Neu,chr13
Msx2,chr13,53466884,53473074,-,53473074,53483074,4.61450607252121,4.557377015542984,-0.0571290569782263,Mixed,Neu,chr13
Drd1,chr13,54051183,54055705,-,54055705,54065705,2.591748539686203,3.732957788149516,1.1412092484633134,Mixed,Neu,chr13
Sfxn1,chr13,54071869,54108342,+,54061869,54071869,2.9765932732343674,3.628764582594236,0.6521713093598684,Mixed,Neu,chr13
Cplx2,chr13,54371349,54383917,+,54361349,54371349,5.483662402057648,4.763851463842392,-0.7198109382152564,Mixed,Neu,chr13
Thoc3,chr13,54458837,54468849,-,54468849,54478849,5.99710219180584,4.5571347522020345,-1.4399674396038051,Mixed,Neu,chr13
Simc1,chr13,54503779,54551290,+,54493779,54503779,5.037351767683029,4.955507050180436,-0.0818447175025935,Mixed,Neu,chr13
4833439L19Rik,chr13,54551218,54565435,-,54565435,54575435,5.243735307216644,3.7880803201794624,-1.4556549870371818,Mixed,Neu,chr13
Arl10,chr13,54575015,54581128,+,54565015,54575015,5.4187538362741465,3.746204968690872,-1.6725488675832745,Mixed,Neu,chr13
Nop16,chr13,54584185,54590090,-,54590090,54600090,5.904896426558494,5.167099961837133,-0.7377964647213613,Mixed,Neu,chr13
Cltb,chr13,54592401,54611344,-,54611344,54621344,5.373938908720016,3.9634246099948887,-1.4105142987251278,Mixed,Neu,chr13
Faf2,chr13,54621784,54664063,+,54611784,54621784,5.365147625088692,4.015635855722427,-1.3495117693662655,Mixed,Neu,chr13
Rnf44,chr13,54679399,54693907,-,54693907,54703907,5.229418213367462,4.28472094048659,-0.9446972728808722,Mixed,Neu,chr13
Sncb,chr13,54758860,54766595,-,54766595,54776595,3.025234893798828,2.233297749400139,-0.7919371443986889,Mixed,Neu,chr13
Tspan17,chr13,54789377,54796776,+,54779377,54789377,5.806319457173347,3.9779659016966815,-1.828353555476666,Mixed,Neu,chr13
Unc5a,chr13,54949411,55006018,+,54939411,54949411,3.8278413928270334,3.734944335595767,-0.0928970572312675,Mixed,Neu,chr13
Zfp346,chr13,55105311,55134825,+,55095311,55105311,5.554782296299934,4.544093262664477,-1.0106890336354573,Mixed,Neu,chr13
Fgfr4,chr13,55152640,55168759,+,55142640,55152640,3.825188236355781,4.51428368071715,0.6890954443613686,Mixed,Neu,chr13
Nsd1,chr13,55209782,55318325,+,55199782,55209782,5.379349999547005,4.517403254063924,-0.8619467454830803,Mixed,Neu,chr13
Rab24,chr13,55319743,55321946,-,55321946,55331946,6.467171118617058,4.420206848454476,-2.046964270162582,Euchromatin,Neu,chr13
Mxd3,chr13,55325168,55329823,-,55329823,55339823,6.519831580018996,5.293967484410604,-1.225864095608392,Mixed,Neu,chr13
Lman2,chr13,55343833,55362783,-,55362783,55372783,5.11858165204525,4.190597315319379,-0.9279843367258708,Mixed,Neu,chr13
Pfn3,chr13,55414688,55415232,-,55415232,55425232,5.530166720056534,4.087318260876338,-1.4428484591801958,Mixed,Neu,chr13
